from_node,to_node,hotspot_rate,avg_pred,n_rows
A1009,A112,1.0,3682.7177462501845,23
A3 North Side Wandsworth Common,A3036 East Hill,0.0,817.1405617110297,11
A1011,A114,0.5652173913043478,444.9784672271821,23
A13,A11,0.5217391304347826,2335.21141628982,23
LA Boundary,A404,0.5217391304347826,3195.7796733009823,23
A240 Warren Drive North,A2043,0.5217391304347826,3450.3787859194076,23
LA Boundary,A201,0.6086956521739131,261.2497528451437,23
A222,LA Boundary,0.0,350.5928223272003,23
A4 Hyde Park Corner,Marble Arch,0.5217391304347826,1740.6907225198252,23
Hyde Park Corner,St James St,0.5217391304347826,958.0300020471547,23
A3 Marcilly rd,B229,0.0,492.93069216256373,23
A112,A104,0.5217391304347826,3839.831946425323,23
LA Boundary,A10,0.0,588.9284618422162,23
A124,A13(T),0.5217391304347826,460.6937295918306,23
A21,A232,0.6086956521739131,518.3073652379926,23
Lower Sunbury Rd,A3008,0.6521739130434783,573.5705786664208,23
A4180,A40,0.5652173913043478,1082.243494086527,23
A214,LA Boundary,0.0,440.93495365294564,23
A1206,A1203,0.5217391304347826,593.6963851670849,23
A3003,LA Boundary,0.5217391304347826,943.0979162700562,23
A41,LA Boundary,0.5217391304347826,500.57804133419876,23
A502,A1,1.0,2343.20897659124,23
A217,LA Boundary,0.5217391304347826,605.720694772463,23
LA Boundary,A40,0.0,602.9573668316372,23
A4/A205,A4000,0.6521739130434783,1319.7398175057353,23
Earl's Court Rd,Thurloe Place,0.6956521739130435,1353.385001143943,23
A2,A300,0.0,350.05920217651965,23
Downs Rd,Lea Bridge Rd,0.6521739130434783,663.4784345157085,23
A3220,LA Boundary,0.0,478.46489255269245,23
A406,A598 Regent's Park Road,0.0,3263.3396563575357,23
A598,A109/A5109,0.0,581.724437426036,23
A504,A1080,0.0,684.7419654880134,23
Kentish Town Rd,Bayham St,0.0,377.2394503564716,11
A503,A104,0.5217391304347826,539.7195415103081,23
A4180,A4125,0.0,482.7173569145695,23
Praed St,A501/A4209,0.5217391304347826,683.5911072112605,23
A214/A216,A205,0.5652173913043478,693.0616722584975,23
